,status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit,sex
201,<200,12,None/Paid,A40,1168,<500,1-4 years,4,married/widowed,A101,3,A121,27,A143,A152,1,A172,1,A191,A201,1,1.0
202,None,27,Delay,A49,5117,<500,4+ years,3,single,A101,4,A123,26,A143,A152,2,A173,1,A191,A201,1,1.0
203,<200,12,None/Paid,A48,902,<500,4+ years,4,married/widowed,A101,4,A122,21,A143,A151,1,A173,1,A191,A201,2,1.0
204,None,12,Other,A40,1495,<500,4+ years,4,single,A101,1,A121,38,A143,A152,2,A172,2,A191,A201,1,1.0
205,<200,30,Other,A41,10623,<500,4+ years,3,single,A101,4,A124,38,A143,A153,3,A174,2,A192,A201,1,1.0
206,None,12,Other,A42,1935,<500,4+ years,4,single,A101,4,A121,43,A143,A152,3,A173,1,A192,A201,1,1.0
207,<200,12,Other,A44,1424,<500,4+ years,4,single,A101,3,A122,26,A143,A152,1,A173,1,A191,A201,1,1.0
208,<200,24,None/Paid,A49,6568,<500,1-4 years,2,married/widowed,A101,2,A123,21,A142,A152,1,A172,1,A191,A201,1,1.0
209,None,12,None/Paid,A41,1413,500+,4+ years,3,single,A101,2,A122,55,A143,A152,1,A173,1,A191,A202,1,1.0
210,None,9,Other,A43,3074,Unknown/None,1-4 years,1,single,A101,2,A121,33,A143,A152,2,A173,2,A191,A201,1,1.0
211,None,36,None/Paid,A43,3835,Unknown/None,4+ years,2,divorced/separated/married,A101,4,A121,45,A143,A152,1,A172,1,A192,A201,1,0.0
212,<200,27,None/Paid,A49,5293,<500,Unemployed,2,single,A101,4,A122,50,A142,A152,2,A173,1,A192,A201,2,1.0
213,200+,30,Delay,A49,1908,<500,4+ years,4,single,A101,4,A121,66,A143,A152,1,A174,1,A192,A201,2,1.0
214,None,36,Other,A43,3342,Unknown/None,4+ years,4,single,A101,2,A123,51,A143,A152,1,A173,1,A192,A201,1,1.0
215,<200,6,Other,A48,932,Unknown/None,4+ years,1,divorced/separated/married,A101,3,A122,39,A143,A152,2,A172,1,A191,A201,1,0.0
216,<200,18,None/Paid,A49,3104,<500,4+ years,3,single,A101,1,A122,31,A141,A152,1,A173,1,A192,A201,1,1.0
217,200+,36,None/Paid,A43,3913,<500,1-4 years,2,single,A101,2,A121,23,A143,A152,1,A173,1,A192,A201,1,1.0
218,<200,24,None/Paid,A42,3021,<500,1-4 years,2,divorced/separated,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,1,1.0
219,None,10,None/Paid,A40,1364,<500,1-4 years,2,divorced/separated/married,A101,4,A123,64,A143,A152,1,A173,1,A192,A201,1,0.0
220,<200,12,None/Paid,A43,625,<500,1-4 years,4,married/widowed,A103,1,A121,26,A141,A152,1,A172,1,A191,A201,1,1.0
221,<200,12,None/Paid,A46,1200,Unknown/None,1-4 years,4,divorced/separated/married,A101,4,A122,23,A141,A151,1,A173,1,A192,A201,1,0.0
222,None,12,None/Paid,A43,707,<500,1-4 years,4,single,A101,2,A121,30,A141,A152,2,A173,1,A191,A201,1,1.0
223,None,24,Delay,A49,2978,Unknown/None,1-4 years,4,single,A101,4,A121,32,A143,A152,2,A173,2,A192,A201,1,1.0
224,None,15,None/Paid,A41,4657,<500,1-4 years,3,single,A101,2,A123,30,A143,A152,1,A173,1,A192,A201,1,1.0
225,None,36,None/Paid,A45,2613,<500,1-4 years,4,single,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1,1.0
226,<200,48,None/Paid,A43,10961,500+,4+ years,1,single,A102,2,A124,27,A141,A152,2,A173,1,A192,A201,2,1.0
227,<200,12,None/Paid,A42,7865,<500,4+ years,4,single,A101,4,A124,53,A143,A153,1,A174,1,A192,A201,2,1.0
228,None,9,None/Paid,A43,1478,<500,4+ years,4,single,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,2,1.0
229,<200,24,None/Paid,A42,3149,<500,1-4 years,4,single,A101,1,A124,22,A141,A153,1,A173,1,A191,A201,1,1.0
230,200+,36,None/Paid,A43,4210,<500,1-4 years,4,single,A101,2,A123,26,A143,A152,1,A173,1,A191,A201,2,1.0
231,None,9,None/Paid,A40,2507,500+,4+ years,2,single,A101,4,A124,51,A143,A153,1,A172,1,A191,A201,1,1.0
232,None,12,None/Paid,A43,2141,<500,4+ years,3,single,A101,1,A124,35,A143,A152,1,A173,1,A191,A201,1,1.0
233,<200,18,None/Paid,A43,866,<500,1-4 years,4,married/widowed,A103,2,A121,25,A143,A152,1,A172,1,A191,A201,1,1.0
234,None,4,Other,A43,1544,<500,4+ years,2,single,A101,1,A121,42,A143,A152,3,A172,2,A191,A201,1,1.0
235,<200,24,None/Paid,A43,1823,<500,Unemployed,4,single,A101,2,A123,30,A142,A152,1,A174,2,A191,A201,2,1.0
236,<200,6,None/Paid,A40,14555,Unknown/None,Unemployed,1,single,A101,2,A122,23,A143,A152,1,A171,1,A192,A201,2,1.0
237,<200,21,None/Paid,A49,2767,<500,4+ years,4,divorced/separated,A101,2,A123,61,A141,A151,2,A172,1,A191,A201,2,1.0
238,None,12,Other,A43,1291,<500,1-4 years,4,divorced/separated/married,A101,2,A122,35,A143,A152,2,A173,1,A191,A201,1,0.0
239,<200,30,None/Paid,A43,2522,<500,4+ years,1,single,A103,3,A122,39,A143,A152,1,A173,2,A191,A201,1,1.0
240,<200,24,None/Paid,A40,915,Unknown/None,4+ years,4,divorced/separated/married,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,2,0.0
241,None,6,None/Paid,A43,1595,<500,4+ years,3,single,A101,2,A122,51,A143,A152,1,A173,2,A191,A201,1,1.0
242,<200,48,None/Paid,A41,4605,<500,4+ years,3,single,A101,4,A124,24,A143,A153,2,A173,2,A191,A201,2,1.0
243,None,12,Other,A49,1185,<500,1-4 years,3,divorced/separated/married,A101,2,A121,27,A143,A152,2,A173,1,A191,A201,1,0.0
244,None,12,None/Paid,A48,3447,500+,1-4 years,4,divorced/separated/married,A101,3,A121,35,A143,A152,1,A172,2,A191,A201,1,0.0
245,None,24,None/Paid,A49,1258,<500,4+ years,4,single,A101,1,A121,25,A143,A152,1,A173,1,A192,A201,1,1.0
246,None,12,Other,A43,717,<500,4+ years,4,single,A101,4,A121,52,A143,A152,3,A173,1,A191,A201,1,1.0
247,None,6,None/Paid,A40,1204,<500,1-4 years,4,single,A101,1,A124,35,A141,A151,1,A173,1,A191,A202,1,1.0
248,200+,24,None/Paid,A42,1925,<500,1-4 years,2,single,A101,2,A121,26,A143,A152,1,A173,1,A191,A201,1,1.0
249,None,18,None/Paid,A43,433,<500,Unemployed,3,divorced/separated/married,A102,4,A121,22,A143,A151,1,A173,1,A191,A201,2,0.0
250,<200,6,Other,A40,666,500+,4+ years,3,divorced/separated/married,A101,4,A121,39,A143,A152,2,A172,1,A192,A201,1,0.0
251,200+,12,None/Paid,A42,2251,<500,1-4 years,1,divorced/separated/married,A101,2,A123,46,A143,A152,1,A172,1,A191,A201,1,0.0
252,<200,30,None/Paid,A40,2150,<500,1-4 years,4,divorced/separated/married,A103,2,A124,24,A141,A152,1,A173,1,A191,A201,2,0.0
253,None,24,Delay,A42,4151,<500,1-4 years,2,single,A101,3,A122,35,A143,A152,2,A173,1,A191,A201,1,1.0
254,<200,9,None/Paid,A42,2030,Unknown/None,4+ years,2,single,A101,1,A123,24,A143,A152,1,A173,1,A192,A201,1,1.0
255,<200,60,Delay,A43,7418,Unknown/None,1-4 years,1,single,A101,1,A121,27,A143,A152,1,A172,1,A191,A201,1,1.0
256,None,24,Other,A43,2684,<500,1-4 years,4,single,A101,2,A121,35,A143,A152,2,A172,1,A191,A201,1,1.0
257,<200,12,None/Paid,A43,2149,<500,1-4 years,4,divorced/separated,A101,1,A124,29,A143,A153,1,A173,1,A191,A201,2,1.0
258,None,15,None/Paid,A41,3812,<500,1-4 years,1,divorced/separated/married,A101,4,A123,23,A143,A152,1,A173,1,A192,A201,1,0.0
259,None,11,Other,A43,1154,<500,Unemployed,4,divorced/separated/married,A101,4,A121,57,A143,A152,3,A172,1,A191,A201,1,0.0
260,<200,12,None/Paid,A42,1657,<500,1-4 years,2,single,A101,2,A121,27,A143,A152,1,A173,1,A191,A201,1,1.0
261,<200,24,None/Paid,A43,1603,<500,4+ years,4,divorced/separated/married,A101,4,A123,55,A143,A152,1,A173,1,A191,A201,1,0.0
262,<200,18,Other,A40,5302,<500,4+ years,2,single,A101,4,A124,36,A143,A153,3,A174,1,A192,A201,1,1.0
263,None,12,Other,A46,2748,<500,4+ years,2,divorced/separated/married,A101,4,A124,57,A141,A153,3,A172,1,A191,A201,1,0.0
264,None,10,Other,A40,1231,<500,4+ years,3,single,A101,4,A121,32,A143,A152,2,A172,2,A191,A202,1,1.0
265,<200,15,None/Paid,A43,802,<500,4+ years,4,single,A101,3,A123,37,A143,A152,1,A173,2,A191,A201,2,1.0
266,None,36,Other,A49,6304,Unknown/None,4+ years,4,single,A101,4,A121,36,A143,A152,2,A173,1,A191,A201,1,1.0
267,None,24,None/Paid,A43,1533,<500,1-4 years,4,divorced/separated/married,A101,3,A123,38,A142,A152,1,A173,1,A192,A201,1,0.0
268,<200,14,None/Paid,A40,8978,<500,4+ years,1,divorced/separated,A101,4,A122,45,A143,A152,1,A174,1,A192,A202,2,1.0
269,None,24,None/Paid,A43,999,Unknown/None,4+ years,4,single,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,1,1.0
270,None,18,None/Paid,A40,2662,Unknown/None,4+ years,4,single,A101,3,A122,32,A143,A152,1,A173,1,A191,A202,1,1.0
271,None,12,Other,A42,1402,500+,4+ years,3,divorced/separated/married,A101,4,A123,37,A143,A151,1,A173,1,A192,A201,1,0.0
272,<200,48,None/Paid,A40,12169,Unknown/None,Unemployed,4,single,A102,4,A124,36,A143,A153,1,A174,1,A192,A201,1,1.0
273,<200,48,None/Paid,A43,3060,<500,4+ years,4,single,A101,4,A121,28,A143,A152,2,A173,1,A191,A201,2,1.0
274,<200,30,None/Paid,A45,11998,<500,1-4 years,1,divorced/separated,A101,1,A124,34,A143,A152,1,A172,1,A192,A201,2,1.0
275,None,9,None/Paid,A43,2697,<500,1-4 years,1,single,A101,2,A121,32,A143,A152,1,A173,2,A191,A201,1,1.0
276,None,18,Other,A43,2404,<500,1-4 years,2,divorced/separated/married,A101,2,A123,26,A143,A152,2,A173,1,A191,A201,1,0.0
277,<200,12,None/Paid,A42,1262,Unknown/None,4+ years,2,divorced/separated,A101,4,A122,49,A143,A152,1,A172,1,A192,A201,1,1.0
278,None,6,None/Paid,A42,4611,<500,1-4 years,1,divorced/separated/married,A101,4,A122,32,A143,A152,1,A173,1,A191,A201,2,0.0
279,None,24,None/Paid,A43,1901,<500,1-4 years,4,single,A101,4,A123,29,A143,A151,1,A174,1,A192,A201,1,1.0
280,None,15,Other,A41,3368,500+,4+ years,3,single,A101,4,A124,23,A143,A151,2,A173,1,A192,A201,1,1.0
281,None,12,None/Paid,A42,1574,<500,1-4 years,4,single,A101,2,A121,50,A143,A152,1,A173,1,A191,A201,1,1.0
282,200+,18,None/Paid,A43,1445,Unknown/None,4+ years,4,single,A101,4,A123,49,A141,A152,1,A172,1,A191,A201,1,1.0
283,None,15,Other,A42,1520,Unknown/None,4+ years,4,single,A101,4,A122,63,A143,A152,1,A173,1,A191,A201,1,1.0
284,<200,24,Other,A40,3878,<500,1-4 years,4,divorced/separated,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,1,1.0
285,<200,47,None/Paid,A40,10722,<500,1-4 years,1,divorced/separated/married,A101,1,A121,35,A143,A152,1,A172,1,A192,A201,1,0.0
286,<200,48,None/Paid,A41,4788,<500,4+ years,4,single,A101,3,A122,26,A143,A152,1,A173,2,A191,A201,1,1.0
287,<200,48,Delay,A410,7582,<500,Unemployed,2,single,A101,4,A124,31,A143,A153,1,A174,1,A192,A201,1,1.0
288,<200,12,None/Paid,A43,1092,<500,1-4 years,4,divorced/separated/married,A103,4,A121,49,A143,A152,2,A173,1,A192,A201,1,0.0
289,<200,24,Delay,A43,1024,<500,1-4 years,4,married/widowed,A101,4,A121,48,A142,A152,1,A173,1,A191,A201,2,1.0
290,None,12,None/Paid,A49,1076,<500,1-4 years,2,married/widowed,A101,2,A121,26,A143,A152,1,A173,1,A192,A202,1,1.0
291,<200,36,None/Paid,A41,9398,<500,1-4 years,1,married/widowed,A101,4,A123,28,A143,A151,1,A174,1,A192,A201,2,1.0
292,<200,24,Other,A41,6419,<500,4+ years,2,divorced/separated/married,A101,4,A124,44,A143,A153,2,A174,2,A192,A201,1,0.0
293,200+,42,Other,A41,4796,<500,4+ years,4,single,A101,4,A124,56,A143,A153,1,A173,1,A191,A201,1,1.0
294,None,48,Other,A49,7629,Unknown/None,4+ years,4,divorced/separated,A101,2,A123,46,A141,A152,2,A174,2,A191,A201,1,1.0
295,<200,48,None/Paid,A42,9960,<500,1-4 years,1,divorced/separated/married,A101,2,A123,26,A143,A152,1,A173,1,A192,A201,2,0.0
296,None,12,None/Paid,A41,4675,Unknown/None,1-4 years,1,divorced/separated/married,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,1,0.0
297,None,10,None/Paid,A40,1287,Unknown/None,4+ years,4,single,A102,2,A122,45,A143,A152,1,A172,1,A191,A202,1,1.0
298,None,18,None/Paid,A42,2515,<500,1-4 years,3,single,A101,4,A121,43,A143,A152,1,A173,1,A192,A201,1,1.0
299,<200,21,Other,A42,2745,500+,4+ years,3,single,A101,2,A123,32,A143,A152,2,A173,1,A192,A201,1,1.0
300,None,6,None/Paid,A40,672,<500,Unemployed,1,divorced/separated/married,A101,4,A121,54,A143,A152,1,A171,1,A192,A201,1,0.0
301,<200,36,None/Paid,A43,3804,<500,1-4 years,4,divorced/separated/married,A101,1,A123,42,A143,A152,1,A173,1,A192,A201,2,0.0
302,200+,24,Other,A40,1344,Unknown/None,4+ years,4,single,A101,2,A121,37,A141,A152,2,A172,2,A191,A201,2,1.0
303,<200,10,Other,A40,1038,<500,4+ years,4,single,A102,3,A122,49,A143,A152,2,A173,1,A192,A201,1,1.0
304,None,48,Other,A40,10127,500+,1-4 years,2,single,A101,2,A124,44,A141,A153,1,A173,1,A191,A201,2,1.0
305,None,6,None/Paid,A42,1543,500+,1-4 years,4,divorced/separated,A101,2,A121,33,A143,A152,1,A173,1,A191,A201,1,1.0
306,None,30,None/Paid,A41,4811,Unknown/None,4+ years,2,divorced/separated/married,A101,4,A122,24,A142,A151,1,A172,1,A191,A201,1,0.0
307,<200,12,None/Paid,A43,727,<500,1-4 years,4,married/widowed,A101,3,A124,33,A143,A152,1,A172,1,A192,A201,2,1.0
308,<200,8,None/Paid,A42,1237,<500,1-4 years,3,divorced/separated/married,A101,4,A121,24,A143,A152,1,A173,1,A191,A201,2,0.0
309,<200,9,None/Paid,A40,276,<500,1-4 years,4,married/widowed,A101,4,A121,22,A143,A151,1,A172,1,A191,A201,1,1.0
310,<200,48,None/Paid,A410,5381,Unknown/None,Unemployed,3,single,A101,4,A124,40,A141,A153,1,A171,1,A192,A201,1,1.0
311,None,24,None/Paid,A42,5511,<500,1-4 years,4,single,A101,1,A123,25,A142,A152,1,A173,1,A191,A201,1,1.0
312,200+,24,None/Paid,A42,3749,<500,1-4 years,2,divorced/separated/married,A101,4,A123,26,A143,A152,1,A173,1,A191,A201,1,0.0
313,<200,12,None/Paid,A40,685,<500,4+ years,2,married/widowed,A101,3,A123,25,A141,A152,1,A172,1,A191,A201,2,1.0
314,200+,4,None/Paid,A40,1494,Unknown/None,1-4 years,1,single,A101,2,A121,29,A143,A152,1,A172,2,A191,A202,1,1.0
315,<200,36,None/Paid,A42,2746,<500,4+ years,4,single,A101,4,A123,31,A141,A152,1,A173,1,A191,A201,2,1.0
316,<200,12,None/Paid,A42,708,<500,1-4 years,2,single,A103,3,A122,38,A143,A152,1,A172,2,A191,A201,1,1.0
317,<200,24,None/Paid,A42,4351,Unknown/None,1-4 years,1,divorced/separated/married,A101,4,A122,48,A143,A152,1,A172,1,A192,A201,1,0.0
318,None,12,Other,A46,701,<500,1-4 years,4,single,A101,2,A123,32,A143,A152,2,A173,1,A191,A201,1,1.0
319,<200,15,Delay,A42,3643,<500,4+ years,1,divorced/separated/married,A101,4,A122,27,A143,A152,2,A172,1,A191,A201,1,0.0
320,<200,30,Other,A40,4249,<500,Unemployed,4,married/widowed,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,2,1.0
321,<200,24,None/Paid,A43,1938,<500,1-4 years,4,divorced/separated,A101,3,A122,32,A143,A152,1,A173,1,A191,A201,2,1.0
322,<200,24,None/Paid,A41,2910,<500,4+ years,2,single,A101,1,A124,34,A143,A153,1,A174,1,A192,A201,1,1.0
323,<200,18,None/Paid,A42,2659,500+,1-4 years,4,single,A101,2,A123,28,A143,A152,1,A173,1,A191,A201,1,1.0
324,None,18,Other,A40,1028,<500,1-4 years,4,divorced/separated/married,A101,3,A121,36,A143,A152,2,A173,1,A191,A201,1,0.0
325,<200,8,Other,A40,3398,<500,4+ years,1,single,A101,4,A121,39,A143,A152,2,A172,1,A191,A202,1,1.0
326,None,12,Other,A42,5801,Unknown/None,4+ years,2,single,A101,4,A122,49,A143,A151,1,A173,1,A192,A201,1,1.0
327,None,24,None/Paid,A40,1525,500+,4+ years,4,divorced/separated/married,A101,3,A123,34,A143,A152,1,A173,2,A192,A201,1,0.0
328,200+,36,None/Paid,A43,4473,<500,4+ years,4,single,A101,2,A123,31,A143,A152,1,A173,1,A191,A201,1,1.0
329,<200,6,None/Paid,A43,1068,<500,4+ years,4,single,A101,4,A123,28,A143,A152,1,A173,2,A191,A201,1,1.0
330,<200,24,Other,A41,6615,<500,Unemployed,2,single,A101,4,A124,75,A143,A153,2,A174,1,A192,A201,1,1.0
331,None,18,Other,A46,1864,<500,1-4 years,4,divorced/separated/married,A101,2,A121,30,A143,A152,2,A173,1,A191,A201,2,0.0
332,<200,60,None/Paid,A40,7408,<500,1-4 years,4,divorced/separated/married,A101,2,A122,24,A143,A152,1,A174,1,A191,A201,2,0.0
333,None,48,Other,A41,11590,<500,1-4 years,2,divorced/separated/married,A101,4,A123,24,A141,A151,2,A172,1,A191,A201,2,0.0
334,<200,24,None/Paid,A42,4110,<500,4+ years,3,single,A101,4,A124,23,A141,A151,2,A173,2,A191,A201,2,1.0
335,<200,6,Other,A42,3384,<500,1-4 years,1,divorced/separated,A101,4,A121,44,A143,A151,1,A174,1,A192,A201,2,1.0
336,<200,13,None/Paid,A43,2101,<500,1-4 years,2,divorced/separated/married,A103,4,A122,23,A143,A152,1,A172,1,A191,A201,1,0.0
337,<200,15,None/Paid,A44,1275,Unknown/None,1-4 years,4,divorced/separated/married,A101,2,A123,24,A143,A151,1,A173,1,A191,A201,2,0.0
338,<200,24,None/Paid,A42,4169,<500,1-4 years,4,single,A101,4,A122,28,A143,A152,1,A173,1,A191,A201,1,1.0
339,<200,10,None/Paid,A42,1521,<500,1-4 years,4,divorced/separated,A101,2,A123,31,A143,A152,1,A172,1,A191,A201,1,1.0
340,<200,24,Other,A46,5743,<500,1-4 years,2,divorced/separated/married,A101,4,A124,24,A143,A153,2,A173,1,A192,A201,1,0.0
341,<200,21,None/Paid,A42,3599,<500,4+ years,1,divorced/separated/married,A101,4,A123,26,A143,A151,1,A172,1,A191,A201,1,0.0
342,<200,18,None/Paid,A43,3213,500+,1-4 years,1,married/widowed,A101,3,A121,25,A143,A151,1,A173,1,A191,A201,1,1.0
343,<200,18,None/Paid,A49,4439,<500,4+ years,1,single,A102,1,A121,33,A141,A152,1,A174,1,A192,A201,1,1.0
344,200+,10,None/Paid,A40,3949,<500,1-4 years,1,single,A103,1,A122,37,A143,A152,1,A172,2,A191,A201,1,1.0
345,None,15,Other,A43,1459,<500,1-4 years,4,divorced/separated/married,A101,2,A123,43,A143,A152,1,A172,1,A191,A201,1,0.0
346,<200,13,Other,A43,882,<500,1-4 years,4,single,A103,4,A121,23,A143,A152,2,A173,1,A191,A201,1,1.0
347,<200,24,None/Paid,A43,3758,500+,Unemployed,1,divorced/separated/married,A101,4,A124,23,A143,A151,1,A171,1,A191,A201,1,0.0
348,None,6,Delay,A49,1743,<500,1-4 years,1,single,A101,2,A121,34,A143,A152,2,A172,1,A191,A201,1,1.0
349,<200,9,Other,A46,1136,500+,4+ years,4,single,A101,3,A124,32,A143,A153,2,A173,2,A191,A201,2,1.0
350,None,9,None/Paid,A44,1236,<500,1-4 years,1,divorced/separated/married,A101,4,A121,23,A143,A151,1,A173,1,A192,A201,1,0.0
351,<200,9,None/Paid,A42,959,<500,1-4 years,1,divorced/separated/married,A101,2,A123,29,A143,A152,1,A173,1,A191,A202,2,0.0
352,None,18,Other,A41,3229,Unknown/None,Unemployed,2,single,A101,4,A124,38,A143,A152,1,A174,1,A192,A201,1,1.0
353,<200,12,None/Paid,A43,6199,<500,1-4 years,4,single,A101,2,A122,28,A143,A151,2,A173,1,A192,A201,2,1.0
354,None,10,None/Paid,A46,727,500+,4+ years,4,single,A101,4,A124,46,A143,A153,1,A173,1,A192,A201,1,1.0
355,<200,24,None/Paid,A40,1246,<500,1-4 years,4,single,A101,2,A121,23,A142,A152,1,A172,1,A191,A201,2,1.0
356,None,12,Other,A43,2331,Unknown/None,4+ years,1,single,A102,4,A121,49,A143,A152,1,A173,1,A192,A201,1,1.0
357,None,36,Delay,A43,4463,<500,1-4 years,4,single,A101,2,A123,26,A143,A152,2,A174,1,A192,A201,2,1.0
358,None,12,None/Paid,A43,776,<500,1-4 years,4,married/widowed,A101,2,A121,28,A143,A152,1,A173,1,A191,A201,1,1.0
359,<200,30,None/Paid,A42,2406,<500,4+ years,4,divorced/separated/married,A101,4,A121,23,A143,A151,1,A173,1,A191,A201,2,0.0
360,<200,18,None/Paid,A46,1239,Unknown/None,1-4 years,4,single,A101,4,A124,61,A143,A153,1,A173,1,A191,A201,1,1.0
361,200+,12,None/Paid,A43,3399,Unknown/None,4+ years,2,single,A101,3,A123,37,A143,A152,1,A174,1,A191,A201,1,1.0
362,200+,12,Delay,A40,2247,<500,1-4 years,2,divorced/separated/married,A101,2,A123,36,A142,A152,2,A173,1,A192,A201,1,0.0
363,None,6,None/Paid,A42,1766,<500,1-4 years,1,married/widowed,A101,2,A122,21,A143,A151,1,A173,1,A191,A201,1,1.0
364,<200,18,None/Paid,A42,2473,<500,Unemployed,4,single,A101,1,A123,25,A143,A152,1,A171,1,A191,A201,2,1.0
365,None,12,None/Paid,A49,1542,<500,4+ years,2,single,A101,4,A123,36,A143,A152,1,A173,1,A192,A201,1,1.0
366,None,18,Other,A41,3850,<500,4+ years,3,single,A101,1,A123,27,A143,A152,2,A173,1,A191,A201,1,1.0
367,<200,18,None/Paid,A42,3650,<500,1-4 years,1,divorced/separated/married,A101,4,A123,22,A143,A151,1,A173,1,A191,A201,1,0.0
368,<200,36,None/Paid,A42,3446,<500,4+ years,4,single,A101,2,A123,42,A143,A152,1,A173,2,A191,A201,2,1.0
369,<200,18,None/Paid,A42,3001,<500,4+ years,2,divorced/separated/married,A101,4,A121,40,A143,A151,1,A173,1,A191,A201,1,0.0
370,None,36,None/Paid,A40,3079,Unknown/None,1-4 years,4,single,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,1,1.0
371,None,18,Other,A43,6070,<500,4+ years,3,single,A101,4,A123,33,A143,A152,2,A173,1,A192,A201,1,1.0
372,None,10,Other,A42,2146,<500,1-4 years,1,divorced/separated/married,A101,3,A121,23,A143,A151,2,A173,1,A191,A201,1,0.0
373,None,60,Other,A40,13756,Unknown/None,4+ years,2,single,A101,4,A124,63,A141,A153,1,A174,1,A192,A201,1,1.0
374,<200,60,None/Paid,A410,14782,<500,4+ years,3,divorced/separated/married,A101,4,A124,60,A141,A153,2,A174,1,A192,A201,2,0.0
375,<200,48,None/Paid,A49,7685,<500,4+ years,2,divorced/separated/married,A103,4,A123,37,A143,A151,1,A173,1,A191,A201,2,0.0
376,None,18,Delay,A43,2320,<500,Unemployed,2,married/widowed,A101,3,A121,34,A143,A152,2,A173,1,A191,A201,1,1.0
377,None,7,Delay,A43,846,Unknown/None,4+ years,3,single,A101,4,A124,36,A143,A153,1,A173,1,A191,A201,1,1.0
378,<200,36,None/Paid,A40,14318,<500,4+ years,4,single,A101,2,A124,57,A143,A153,1,A174,1,A192,A201,2,1.0
379,None,6,Other,A40,362,<500,1-4 years,4,divorced/separated/married,A101,4,A123,52,A143,A152,2,A172,1,A191,A201,1,0.0
380,<200,20,None/Paid,A42,2212,Unknown/None,4+ years,4,single,A101,4,A123,39,A143,A152,1,A173,1,A192,A201,1,1.0
381,<200,18,None/Paid,A41,12976,<500,Unemployed,3,divorced/separated/married,A101,4,A124,38,A143,A153,1,A174,1,A192,A201,2,0.0
382,None,22,None/Paid,A40,1283,Unknown/None,4+ years,4,divorced/separated/married,A101,4,A122,25,A143,A151,1,A173,1,A191,A201,1,0.0
383,200+,12,None/Paid,A40,1330,<500,1-4 years,4,single,A101,1,A121,26,A143,A152,1,A173,1,A191,A201,1,1.0
384,None,30,Delay,A49,4272,<500,1-4 years,2,single,A101,2,A122,26,A143,A152,2,A172,1,A191,A201,1,1.0
385,None,18,Other,A43,2238,<500,1-4 years,2,divorced/separated/married,A101,1,A123,25,A143,A152,2,A173,1,A191,A201,1,0.0
386,None,18,None/Paid,A43,1126,Unknown/None,1-4 years,4,divorced/separated/married,A101,2,A121,21,A143,A151,1,A173,1,A192,A201,1,0.0
387,<200,18,Other,A42,7374,<500,Unemployed,4,single,A101,4,A122,40,A142,A152,2,A174,1,A192,A201,1,1.0
388,<200,15,Other,A49,2326,500+,1-4 years,2,single,A101,4,A123,27,A141,A152,1,A173,1,A191,A201,1,1.0
389,None,9,None/Paid,A49,1449,<500,4+ years,3,divorced/separated/married,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1,0.0
390,None,18,None/Paid,A40,1820,<500,1-4 years,2,married/widowed,A101,2,A122,30,A143,A152,1,A174,1,A192,A201,1,1.0
391,<200,12,None/Paid,A42,983,500+,1-4 years,1,divorced/separated/married,A101,4,A121,19,A143,A151,1,A172,1,A191,A201,1,0.0
392,<200,36,None/Paid,A40,3249,<500,4+ years,2,single,A101,4,A124,39,A141,A153,1,A174,2,A192,A201,1,1.0
393,<200,6,Other,A43,1957,<500,4+ years,1,divorced/separated/married,A101,4,A123,31,A143,A152,1,A173,1,A191,A201,1,0.0
394,None,9,Other,A42,2406,<500,Unemployed,2,single,A101,3,A123,31,A143,A152,1,A174,1,A191,A201,1,1.0
395,<200,39,Delay,A46,11760,<500,4+ years,2,single,A101,3,A124,32,A143,A151,1,A173,1,A192,A201,1,1.0
396,<200,12,None/Paid,A42,2578,<500,Unemployed,3,divorced/separated/married,A101,4,A124,55,A143,A153,1,A174,1,A191,A201,1,0.0
397,<200,36,Other,A42,2348,<500,1-4 years,3,married/widowed,A101,2,A122,46,A143,A152,2,A173,1,A192,A201,1,1.0
398,<200,12,None/Paid,A40,1223,<500,4+ years,1,divorced/separated,A101,1,A121,46,A143,A151,2,A173,1,A191,A201,2,1.0
399,None,24,Other,A43,1516,500+,1-4 years,4,divorced/separated/married,A101,1,A121,43,A143,A152,2,A172,1,A191,A201,1,0.0
400,None,18,None/Paid,A43,1473,<500,1-4 years,3,married/widowed,A101,4,A121,39,A143,A152,1,A173,1,A192,A201,1,1.0
401,<200,18,Other,A49,1887,Unknown/None,1-4 years,4,married/widowed,A101,4,A121,28,A141,A152,2,A173,1,A191,A201,1,1.0
402,None,24,Delay,A49,8648,<500,1-4 years,2,single,A101,2,A123,27,A141,A152,2,A173,1,A192,A201,2,1.0
